Alder Flycatcher (Empidonax alnorum),Empidonax,alnorum,Tyrannidae,,,,,,,,,,,,,,,,,
Magnolia Warbler (Dendroica magnolia),Dendroica,magnolia,Parulidae,,,,,,,,,,,,,,,,,
Mallard (Anas platyrhynchos),Anas,platyrhynchos,Anatidae,,,,,,,,,,,,,,,,,
Marsh Wren (Cistothorus palustris),Cistothorus,palustris,Troglodytidae,,,,,,,,,,,,,,,,,
Mourning Dove (Zenaida macroura) ,Zenaida,macroura,Columbidae,,,,,1,,1,,,,,,,,,,
Mourning Warbler (Oporornis philadelphia),Oporornis,philadelphia,Parulidae,,,,,,,,,,,,,,,,,
Nashville Warbler (Vermivora ruficapilla) ,Vermivora,ruficapilla,Parulidae,,,,,,,,,,,,,,,,,1
Northern Cardinal (Cardinalis cardinalis) ,Cardinalis,cardinalis,Cardinalidae,1,1,,,,,,2,,,,,,,,,
Northern Flicker (Colaptes auratus),Colaptes,auratus,Picidae,,,,,,,,,,,,,,,,,
Northern Harrier (Circus cyaneus),Circus,cyaneus,Accipitridae,,,,,,,,,,,,,,,,,
Northern Parula (Parula americana),Parula,americana,Parulidae,,,,,,,,,,,,,,,,,
Northern Rough-winged Swallow (Stelgidopteryx serripennis),Stelgidopteryx,serripennis,Hirundinidae,,,,,,,,,,,,,,,,,
Northern Waterthrush (Seirus noveboracensis),Seirus,noveboracensis,Parulidae,,,,,,,,,,,,,,,,,
Olive-sided Flycatcher (Contopus cooperi),Contopus,cooperi,Tyrannidae,,,,,,,,,,,,,,,,,
Orange-crowned Warbler (Vermivora celata),Vermivora,celata,Parulidae,,,,,,,,,,,,,,,,,
Orchard oriole (Icterus spurius),Icterus,spurius,Icteridae,,,,,,,,,,,,,,,,,
Osprey (Pandion haliaetus),Pandion,haliaetus,Pandionidae,,,,,,,,,,,,,,,,,
Ovenbird (Seirus aurocapillus) ,Seirus,aurocapillus,Parulidae,,,,,,,,,,,,,,,,,
Palm Warbler (Dendroica palmarum),Dendroica,palmarum,Parulidae,,,,,,,,,,,,,,,,,
Peregrine Falcon (Falco peregrinus),Falco,peregrinus,Falconidae,,,,,,,,,,,,,,,,,
Philadelphia Vireo (Vireo philadelphicus),Vireo,philadelphicus,Vireonidae,,,,,,,,,,,,,,,,,
Pileated Woodpecker (Dryocopus pileatus) ,Dryocopus,pileatus,Picidae,,,,,,,,,,,,,,,,,
Purple Finch (Haemorhous mexicanus),,,,,,,,1,,1,,,,,,,,,,
Red-bellied Woodpecker (Melanerpes carolinus),Melanerpes,carolinus,Picidae,,,,,,,,,,,1,,,,,,
Red-eyed Vireo (Vireo olivaceus) ,Vireo,olivaceus,Vireonidae,,,,1,,,,3,,1,,,1,,1,,1
Red-headed Woodpecker (Melanerpes erythrocephalus) ,Melanerpes,erythrocephalus,Picidae,,,1,,,,,,,,,,,,,,
Red-Tailed Hawk (Buteo jamaicensis),Buteo,jamaicensis,Accipitridae,,,,,,,,,,,,,,,,,
Red-winged Blackbird (Agelaius tricolor) ,Agelaius,tricolor,Icteridae,,,,1,,1,1,1,1,,,,,,,,
Ring-billed Gull (Larus delawarensis),Larus,delawarensis,Laridae,,,,,,,,,,,,,,,,,
Ring-necked Pheasant (Phasianus colchicus),Phasianus,colchicus,Phasianidae,,,,,,,,,,,,,,,,,
Rock Pigeon (Columba livia),Columba,livia,Columbidae,,,,,,,,,,,,,,,,,
Rose-breasted Grosbeak (Pheucticus ludovicianus) ,Pheucticus,ludovicianus,Cardinalidae,,,,,,,,,,,1,,,,,,
Ruby-crowned Kinglet (Regulus calendula),Regulus,calendula,Regulidae,,,,,,,,,,,,,,,,,
Ruby-Throated Hummingbird (Archilocus colubris),Archilocus,colubris,Trochilidae,,,,,,,,,,,,,,,,,
Sandhill Crane (Grus canadensis),Antigone,canadensis,Gruidae,,,,,,,,,,,,,,,,,
Savannah Sparrow (Passerculus sandwichensis),Passerculus,sandwichensis,Emberizidae,,,,,,,,,,,,,,,,,
Scarlet Tanager (Piranga olivacea) ,Piranga,olivacea,Cardinalidae,,,,,1,,,,,,,,,,,,1
Sedge Wren (Cistothorus platensis),Cistothorus,platensis,Troglodytidae,,,,,,,,,,,,,,,,,
Solitary Sandpiper (Tringa solitaria),Tringa,solitaria,Scolopacidae,,,,,,,,,,,,,,,,,
Song Sparrow (Melospiza melodia) ,Melospiza,melodia,Emberizidae,2,,,,1,,,,,,,1,,,,,
Sora (Porzana carolina),Porzana,carolina,Rallidae,,,,,,,,,,,,,,,,,
Spotted Sandpiper (Actitis macularia),Actitis,macularia,Scolopacidae,,,,,,,,,,,,,,,,,
Swainson’s Thrush (Catharus ustulatus) ,Catharus,ustulatus,Turdidae,,,,,,,,,,,,,,,,,
Swamp Sparrow (Melospiza georgiana),Melospiza,georgiana,Emberizidae,,,,,,,,,,,,,,,,,
Tennesee Warbler (Vermivora peregrina) ,Vermivora,peregrina,Parulidae,,1,,,,,,1,,1,,,,,1,,
Tree Swallow (Tachycineta bicolor) ,Tachycineta,bicolor,Hirundinidae,,,,,,,,,,,,,,,,,
Tufted Titmouse (Baeolophus bicolor),Baeolophus,bicolor,Paridae,,,,,,,,,,,,,,,,,
Turkey Vulture (Cathartes aura),Cathartes,aura,Cathartidae,,,,,,,1,,,,,,,,,,
Veery (Catharus fuscescens) ,Catharus,fuscescens,Turdidae,,,,,,,,,,,,,,,,,
Vesper Sparrow (Pooecetes gramineus),Pooecetes,gramineus,Emberizidae,,,,,,,,,,,,,,,,,
Warbling Vireo (Vireo gilvus) ,Vireo,gilvus,Vireonidae,,,,,,,,,,,1,,,,,,
White-breasted Nuthatch (Sitta carolinensis) ,Sitta,carolinensis,Sittidae,,,,,,,,,,,,,,,1,,2
White-Crowned Sparrow (Zonotrichia leucophrys),Zonotrichia,leucophrys,Emberizidae,,,,,,,,,,,,,,,,,
White-throated Sparrow (Zonotrichia albicollis),Zonotrichia,albicollis,Emberizidae,,,,,,,,,,,,,,,,,
Wild Turkey (Meleagris gallopavo),Meleagris,gallopavo,Phasianidae,,,,,,,,,,,,,,,,,
Willow Flycatcher (Empidonax traillii),Empidonax,traillii,Tyrannidae,,,,,,,,,,,,,,,,,
Wilson's Warbler (Wilsonia pusilla) ,Wilsonia,pusilla,Parulidae,,,,,,,,,,,,,,,,,
Wood Duck (Aix sponsa),Aix,sponsa,Anatidae,,,,,,,,,,,,,,,,,
Wood Thrush (Hylocichla mustelina) ,Hylocichla,mustelina,Turdidae,,,,,,,,,,,,,,,,,
Yellow Warbler (Dendroica petechia) ,Dendroica,petechia,Parulidae,,,,,,,1,,,,,,,1,,,
Yellow-bellied Flycatcher (Empidonax flaviventris) ,Empidonax,flaviventris,Tyrannidae,,,,,,,,,,,,,,,,,
Yellow-bellied Sapsucker (Sphyrapicus varius),Sphyrapicus,varius,Picidae,,,,,,,,,,,,,,,,,
Yellow-headed Blackbird (Xanthocephalus xanthocephalus),Xanthocephalus,xanthocephalus,Icteridae,,,,,,,,,,,,,,,,,
Yellow-rumped Warbler (Dendroica coronata),Dendroica,coronata,Parulidae,,,,,,,,,,,,,,,,,
Yellow-throated Vireo (Vireo flavifrons) ,Vireo,flavifrons,Vireonidae,,,,,,1,1,,,,,,,,,,
